date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-10-29,721001,-1.4079058e-05,-0.010291686036547525,0,-0.0,0.0,0.0,-0.0,0.6881642546530758
2013-10-30,721001,-0.0027682693,,0,,0.0,0.0,,
2013-10-31,721001,-3.024547e-06,,0,,0.0,0.0,,
2013-11-01,721001,-0.0002705691,0.0,0,0.0,0.0,0.0,0.0,0.6881642546530758
2013-11-06,721001,-0.0047640745,,0,,0.0,0.0,,
2013-11-07,721001,0.00010967044,,1,,1.0,0.001,,
2013-11-08,721001,0.0025369977,0.0,1,0.0,0.0,0.0,0.0,0.6881642546530758
2013-11-11,721001,-0.00013879983,0.005830920310793144,0,0.0,1.0,0.001,-0.001,0.6874760903984227
2013-11-12,721001,-0.000303287,0.0,0,0.0,0.0,0.0,0.0,0.6874760903984227
2013-11-13,721001,-0.0006674606,-0.0011634672632980698,0,-0.0,0.0,0.0,-0.0,0.6874760903984227
2013-11-14,721001,-0.0006245261,0.0,0,0.0,0.0,0.0,0.0,0.6874760903984227
2013-11-15,721001,-0.002585257,0.017311453671280147,0,0.0,0.0,0.0,0.0,0.6874760903984227
2013-11-18,721001,-0.0057518105,,0,,0.0,0.0,,
2013-11-19,721001,0.002074775,,1,,1.0,0.001,,
2013-11-20,721001,-0.00041463965,0.0,0,0.0,1.0,0.001,-0.001,0.6867886143080243
2013-11-21,721001,-0.00070916,-0.001177163173014752,0,-0.0,0.0,0.0,-0.0,0.6867886143080243
2013-11-22,721001,-0.00021749805,-0.003539826705123951,0,-0.0,0.0,0.0,-0.0,0.6867886143080243
2013-11-25,721001,0.0015328008,-0.0190936588155797,1,-0.0190936588155797,1.0,0.001,-0.0200936588155797,0.6729885182136941
2013-11-26,721001,-0.0025334926,0.014354313451683122,0,0.0,1.0,0.001,-0.001,0.6723155296954804
2013-11-27,721001,-0.0009066282,-0.0035693077751204503,0,-0.0,0.0,0.0,-0.0,0.6723155296954804
2013-11-28,721001,-0.0019262758,-0.0011926059851231359,0,-0.0,0.0,0.0,-0.0,0.6723155296954804
2013-11-29,721001,-0.00036081122,,0,,0.0,0.0,,
2013-12-02,721001,-0.00033017588,,0,,0.0,0.0,,
2013-12-03,721001,-0.0016466846,0.004807701568103078,0,0.0,0.0,0.0,0.0,0.6723155296954804
2013-12-04,721001,0.00030512223,-0.007220247973487132,1,-0.007220247973487132,1.0,0.001,-0.008220247973487131,0.6667889293249571
2013-12-05,721001,-0.0014381241,-0.0036297680505786127,0,-0.0,1.0,0.001,-0.001,0.6661221403956322
2013-12-06,721001,-0.0022163293,-0.0012128564252092936,0,-0.0,0.0,0.0,-0.0,0.6661221403956322
2013-12-09,721001,-0.0026868144,,0,,0.0,0.0,,
2013-12-10,721001,-0.0033989802,,0,,0.0,0.0,,
2013-12-11,721001,0.0009089641,,1,,1.0,0.001,,
2013-12-12,721001,1.9360059e-05,0.011187189390564376,1,0.011187189390564376,0.0,0.0,0.011187189390564376,0.6735741749374863
2013-12-13,721001,0.00013183503,0.0,1,0.0,0.0,0.0,0.0,0.6735741749374863
