SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
21/01/2025   ;905028    ;TUNINDEX20        ;4432.903            ;4443.078            ;-0.229              ;4452.424            ;4334.940            
22/01/2025   ;905001    ;TUNINDEX          ;10111.427           ;10065.779           ;0.453               ;10111.427           ;9852.655            
22/01/2025   ;905002    ;STES FINANCIERES  ;7619.066            ;7572.461            ;0.615               ;7619.066            ;7422.694            
22/01/2025   ;905003    ;BANQUES           ;7082.861            ;7033.327            ;0.704               ;7082.861            ;6882.489            
22/01/2025   ;905004    ;ASSURANCES        ;15013.441           ;15024.333           ;-0.072              ;15269.455           ;15013.441           
22/01/2025   ;905005    ;SERVICES FINANCIER;12636.948           ;12655.332           ;-0.145              ;12656.992           ;12379.626           
22/01/2025   ;905008    ;SERVICES AUX CONSO;3307.904            ;3276.393            ;0.962               ;3307.904            ;3132.261            
22/01/2025   ;905009    ;DISTRIBUTION      ;5211.589            ;5161.944            ;0.962               ;5211.589            ;4934.863            
22/01/2025   ;905013    ;BIENS CONSOMMATION;8126.521            ;8103.658            ;0.282               ;8226.722            ;7913.264            
22/01/2025   ;905015    ;AGROALIMENT BOISSO;9973.449            ;9952.161            ;0.214               ;10136.788           ;9640.095            
22/01/2025   ;905016    ;PROD MENAGER SOIN ;2614.811            ;2601.787            ;0.501               ;2631.609            ;2596.492            
22/01/2025   ;905017    ;INDUSTRIES        ;1826.736            ;1832.121            ;-0.294              ;1858.420            ;1796.376            
22/01/2025   ;905018    ;BATIM MATE CONSTRU;817.225             ;820.125             ;-0.354              ;838.631             ;790.141             
22/01/2025   ;905020    ;MATERIAUX DE BASE ;5358.994            ;5352.970            ;0.113               ;5410.389            ;5047.171            
22/01/2025   ;905028    ;TUNINDEX20        ;4456.475            ;4432.903            ;0.532               ;4456.475            ;4334.940            
23/01/2025   ;905001    ;TUNINDEX          ;10203.559           ;10111.427           ;0.911               ;10203.559           ;9852.655            
23/01/2025   ;905002    ;STES FINANCIERES  ;7726.478            ;7619.066            ;1.410               ;7726.478            ;7422.694            
23/01/2025   ;905003    ;BANQUES           ;7189.211            ;7082.861            ;1.502               ;7189.211            ;6882.489            
23/01/2025   ;905004    ;ASSURANCES        ;15047.290           ;15013.441           ;0.225               ;15269.455           ;15013.441           
23/01/2025   ;905005    ;SERVICES FINANCIER;12775.743           ;12636.948           ;1.098               ;12775.743           ;12379.626           
23/01/2025   ;905008    ;SERVICES AUX CONSO;3335.422            ;3307.904            ;0.832               ;3335.422            ;3132.261            
23/01/2025   ;905009    ;DISTRIBUTION      ;5254.943            ;5211.589            ;0.832               ;5254.943            ;4934.863            
23/01/2025   ;905013    ;BIENS CONSOMMATION;8129.629            ;8126.521            ;0.038               ;8226.722            ;7913.264            
23/01/2025   ;905015    ;AGROALIMENT BOISSO;9972.102            ;9973.449            ;-0.014              ;10136.788           ;9640.095            
23/01/2025   ;905016    ;PROD MENAGER SOIN ;2620.133            ;2614.811            ;0.204               ;2631.609            ;2596.492            
23/01/2025   ;905017    ;INDUSTRIES        ;1827.780            ;1826.736            ;0.057               ;1858.420            ;1796.376            
23/01/2025   ;905018    ;BATIM MATE CONSTRU;817.446             ;817.225             ;0.027               ;838.631             ;790.141             
23/01/2025   ;905020    ;MATERIAUX DE BASE ;5409.504            ;5358.994            ;0.943               ;5410.389            ;5047.171            
23/01/2025   ;905028    ;TUNINDEX20        ;4502.340            ;4456.475            ;1.029               ;4502.340            ;4334.940            
24/01/2025   ;905001    ;TUNINDEX          ;10247.377           ;10203.559           ;0.429               ;10247.377           ;9852.655            
24/01/2025   ;905002    ;STES FINANCIERES  ;7744.860            ;7726.478            ;0.238               ;7744.860            ;7422.694            
24/01/2025   ;905003    ;BANQUES           ;7205.618            ;7189.211            ;0.228               ;7205.618            ;6882.489            
24/01/2025   ;905004    ;ASSURANCES        ;14949.264           ;15047.290           ;-0.651              ;15269.455           ;14949.264           
24/01/2025   ;905005    ;SERVICES FINANCIER;12942.483           ;12775.743           ;1.305               ;12942.483           ;12379.626           
